1976,17286663,3727491
Alabama,AL,9,1182850
Alaska,AK,3,123574
Arizona,AZ,6,742719
Arkansas,AR,6,769396
California,CA,45,7867117
Colorado,CO,7,1081135
Connecticut,CT,8,1381526
Delaware,DE,3,235834
District of Columbia,DC,3,168830
Florida,FL,17,3150631
Georgia,GA,12,1467458
Hawaii,HI,4,291301
Idaho,ID,4,340932
Illinois,IL,26,4718833
Indiana,IN,13,2220362
Iowa,IA,8,1279306
Kansas,KS,7,957845
Kentucky,KY,9,1167142
Louisiana,LA,10,1278439
Maine,ME,4,483208
Maryland,MD,10,1432273
Massachusetts,MA,14,2547557
Michigan,MI,21,3653749
Minnesota,MN,10,1949931
Mississippi,MS,7,769360
Missouri,MO,12,1953600
Montana,MT,4,328734
Nebraska,NE,5,607668
Nevada,NV,3,201876
New Hampshire,NH,4,339618
New Jersey,NJ,17,3014472
New Mexico,NM,4,416590
New York,NY,41,6525225
North Carolina,NC,13,1677906
North Dakota,ND,3,297094
Ohio,OH,25,4111873
Oklahoma,OK,8,1092251
Oregon,OR,6,1029876
Pennsylvania,PA,27,4620787
Rhode Island,RI,4,411170
South Carolina,SC,8,802594
South Dakota,SD,4,300678
Tennessee,TN,10,1476346
Texas,TX,26,4071884
Utah,UT,4,541198
Vermont,VT,3,187855
Virginia,VA,12,1697094
Washington,WA,9,1555534
West Virginia,WV,6,750674
Wisconsin,WI,11,2101336
Wyoming,WY,3,156343
