1828,196802,55517
Alabama,AL,5,18618
Connecticut,CT,8,19378
Delaware,DE,3,13944
Georgia,GA,9,20004
Illinois,IL,3,14222
Indiana,IN,5,39210
Kentucky,KY,14,70776
Louisiana,LA,5,8687
Maine,ME,9,34789
Maryland,MD,11,45796
Massachusetts,MA,15,39074
Mississippi,MS,3,8344
Missouri,MO,3,11654
New Hampshire,NH,8,44035
New Jersey,NJ,8,45570
New York,NY,36,270975
North Carolina,NC,15,51747
Ohio,OH,16,131049
Pennsylvania,PA,28,152220
Rhode Island,RI,4,3580
South Carolina,SC,11,51126
Tennessee,TN,11,46533
Vermont,VT,7,32833
Virginia,VA,24,38924
